timestamp,account_type,account_action,account_id,job_id
2018-06-15 15:43:35,EMPLOYER,ADD_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,250994
2018-06-14 23:41:33,EMPLOYER,ADD_JOB,560c6365-0e90-462f-ab48-451aa3854fb7,942615
2018-06-14 10:26:11,EMPLOYER,ADD_JOB,0c36032f-907a-4d24-a364-9b4548a45aac,963533
2018-06-15 11:25:27,EMPLOYER,REMOVE_JOB,560c6365-0e90-462f-ab48-451aa3854fb7,942615
2018-06-12 08:43:28,EMPLOYER,ADD_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,964502
2018-06-13 06:59:34,USER,SAVE_JOB,0c36032f-907a-4d24-a364-9b4548a45aac,963533
2018-06-16 10:55:00,EMPLOYER,ADD_JOB,744d5e61-48a4-4638-ad1e-89cb3b397f5e,711270
2018-06-12 04:59:38,EMPLOYER,REMOVE_JOB,744d5e61-48a4-4638-ad1e-89cb3b397f5e,711270
2018-06-17 15:48:24,EMPLOYER,REMOVE_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,250994
2018-06-17 11:06:11,USER,SAVE_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,964502
2018-06-13 08:10:35,USER,SAVE_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,964502
2018-06-14 20:34:03,EMPLOYER,ADD_JOB,560c6365-0e90-462f-ab48-451aa3854fb7,269461
2018-06-16 07:04:30,EMPLOYER,ADD_JOB,8755c299-5927-4d3b-b56c-e1aa17526398,344909
2018-06-17 11:20:29,USER,SAVE_JOB,8755c299-5927-4d3b-b56c-e1aa17526398,344909
2018-06-16 13:45:43,EMPLOYER,REMOVE_JOB,560c6365-0e90-462f-ab48-451aa3854fb7,269461
2018-06-15 01:08:15,EMPLOYER,ADD_JOB,b07587a5-435d-4487-93ec-a41660f10b43,467537
2018-06-17 03:17:47,EMPLOYER,REMOVE_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,964502
2018-06-14 16:25:53,USER,SAVE_JB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,402905
2018-06-15 12:03:12,EMPLOYER,ADD_JOB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,382325
2018-06-17 12:59:20,EMPLOYER,REMOVE_JOB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,382325
2018-06-12 11:48:53,EMPLOYER,ADD_JOB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,620936
2018-06-15 22:45:50,EMPLOYER,ADD_JOB,93dcb4ed-c0da-4d85-aca3-1082c399ee48,544162
2018-06-17 13:02:10,EMPLOYER,ADD_JOB,560c6365-0e90-462f-ab48-451aa3854fb7,468300
2018-06-16 08:51:13,EMPLOYER,ADD_JOB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,778290
2018-06-12 18:52:49,EMPLOYER,ADD_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,672471
2018-06-15 01:10:35,EMPLOYER,ADD_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,898441
2018-06-15 01:51:03,EMPLOYER,ADD_JOB,8755c299-5927-4d3b-b56c-e1aa17526398,878949
2018-06-17 05:50:06,USER,SAVE_JOB,8755c299-5927-4d3b-b56c-e1aa17526398,878949
2018-06-13 16:38:13,USER,SAVE_JOB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,778290
2018-06-16 16:42:57,EMPLOYER,ADD_JOB,b07587a5-435d-4487-93ec-a41660f10b43,691257
2018-06-15 02:27:44,EMPLOYER,REMOVE_JOB,8755c299-5927-4d3b-b56c-e1aa17526398,878949
2018-06-13 23:55:54,EMPLOYER,ADD_JOB,c68c93a2-061d-4e6f-9685-173c34974265,645127
2018-06-17 05:16:23,EMPLOYER,REMOVE_JOB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,620936
2018-06-15 12:37:07,EMPLOYE,REMOVE_JOB,0c36032f-907a-4d24-a364-9b4548a45aac,963533
2018-06-12 23:38:47,EMPLOYER,REMOVE_JOB,0c36032f-907a-4d24-a364-9b4548a45aac,963533
2018-06-17 04:45:01,EMPLOYER,ADD_JOB,d492b954-7a15-4ecd-8609-7cbc254649e3,470222
2018-06-16 06:29:43,EMPLOYER,ADD_JOB,93dcb4ed-c0da-4d85-aca3-1082c399ee48,388536
2018-06-15 02:48:03,EMPLOYER,ADD_JOB,04ab2db6-b08f-4034-b1e7-631500d40c03,698467
2018-06-12 16:49:24,EMPLOYER,REMOVE_JOB,93dcb4ed-c0da-4d85-aca3-1082c399ee48,544162
2018-06-13 13:08:39,USER,SAVE_JOB,560c6365-0e90-462f-ab48-451aa3854fb7,468300
2018-06-15 20:10:43,EMPLOYER,REMOVE_JOB,04ab2db6-b08f-4034-b1e7-631500d40c03,698467
2018-06-17 16:28:13,USER,SAVE_JOB,b07587a5-435d-4487-93ec-a41660f10b43,691257
2018-06-12 18:46:40,EMPLOYER,ADD_JOB,744d5e61-48a4-4638-ad1e-89cb3b397f5e,644586
2018-06-12 16:23:11,EMPLOYER,REMOVE_JOB,b07587a5-435d-4487-93ec-a41660f10b43,467537
2018-06-12 19:39:21,USER,SAVE_JOB,93dcb4ed-c0da-4d85-aca3-1082c399ee48,388536
2018-06-15 13:54:43,EMPLOYER,ADD_JOB,c681a75e-e3dc-48dd-826c-e2a9c84ae2b4,309027
